Table 1: REAL images
Model,CSS_1,CSS_2,CSS_3,CSS_4,caAcc_linear,caAcc_fib
Qwen-2.5VL-7B,98.2,96.3,98.2,96.2,97.0,96.9
InternVL3-8B,78.6,74.5,76.3,73.9,75.2,75.1

Table 2: FAKE images (fully synthetic)
Model,CSS_1,CSS_2,CSS_3,CSS_4,caAcc_linear,caAcc_fib
Qwen-2.5VL-7B,2.7,7.6,3.3,17.0,9.6,10.3
InternVL3-8B,25.0,30.9,14.6,42.6,30.1,31.2

Table 3: TAMPERED images (partially manipulated)
Model,CSS_1,CSS_2,CSS_3,CSS_4,caAcc_linear,caAcc_fib
Qwen-2.5VL-7B,1.0,1.8,3.3,2.1,2.3,2.3
InternVL3-8B,22.7,39.3,42.6,56.2,45.4,46.4
